27.51-1|Fabricacao de fogoes, refrigeradores e maquinas de lavar e secar para uso domestico|C-14
27.59-7|Fabricacao de aparelhos eletrodomesticos nao especificados anteriormente|C-14
27.90-2|Fabricacao de equipamentos e aparelhos eletricos nao especificados anteriormente|C-14
28.11-9|Fabricacao de motores e turbinas, exceto para avioes e veiculos rodoviarios|C-14
28.12-7|Fabricacao de equipamentos hidraulicos e pneumaticos, exceto valvulas|C-14
28.13-5|Fabricacao de valvulas, registros e dispositivos semelhantes|C-14
28.14-3|Fabricacao de compressores|C-14
28.15-1|Fabricacao de equipamentos de transmissao para fins industriais|C-14
28.21-6|Fabricacao de aparelhos e equipamentos para instalacoes termicas|C-14
28.22-4|Fabricacao de maquinas, equipamentos e aparelhos para transporte e elevacao de cargas e pessoas|C-14
28.23-2|Fabricacao de maquinas e aparelhos de refrigeracao e ventilacao para uso industrial e comercial|C-14
28.24-1|Fabricacao de aparelhos e equipamentos de ar condicionado|C-14
28.25-9|Fabricacao de maquinas e equipamentos para saneamento basico e ambiental|C-14
28.29-1|Fabricacao de maquinas e equipamentos de uso geral nao especificados anteriormente|C-14A
28.31-3|Fabricacao de tratores agricolas|C-16
28.32-1|Fabricacao de equipamentos para irrigacao agricola|C-14
28.33-0|Fabricacao de maquinas e equipamentos para a agricultura e pecuaria, exceto para irrigacao|C-14
28.40-2|Fabricacao de maquinas-ferramenta|C-14
28.51-8|Fabricacao de maquinas e equipamentos para a prospeccao e extracao de petroleo|C-14
28.52-6|Fabricacao de outras maquinas e equipamentos para uso na extracao mineral, exceto na extracao de petroleo|C-14
28.53-4|Fabricacao de tratores, exceto agricolas|C-16
28.54-2|Fabricacao de maquinas e equipamentos para terraplenagem, pavimentacao e construcao, exceto tratores|C-14
28.61-5|Fabricacao de maquinas para a industria metalurgica, exceto maquinas- ferramenta|C-14
28.62-3|Fabricacao de maquinas e equipamentos para as industrias de alimentos, bebidas e fumo|C-14
28.63-1|Fabricacao de maquinas e equipamentos para a industria textil|C-14
28.64-0|Fabricacao de maquinas e equipamentos para as industrias do vestuario, do couro e de calcados|C-14
28.65-8|Fabricacao de maquinas e equipamentos para as industrias de celulose, papel e papelao e artefatos|C-14
28.66-6|Fabricacao de maquinas e equipamentos para a industria do plastico|C-14
28.69-1|Fabricacao de maquinas e equipamentos para uso industrial especifico nao especificados anteriormente|C-14
29.10-7|Fabricacao de automoveis, camionetas e utilitarios|C-16
29.20-4|Fabricacao de caminhoes e onibus|C-16
29.30-1|Fabricacao de cabines, carrocerias e reboques para veiculos automotores|C-16
29.41-7|Fabricacao de pecas e acessorios para o sistema motor de veiculos automotores|C-16
29.42-5|Fabricacao de pecas e acessorios para os sistemas de marcha e transmissao de veiculos automotores|C-16
29.43-3|Fabricacao de pecas e acessorios para o sistema de freios de veiculos automotores|C-16
29.44-1|Fabricacao de pecas e acessorios para o sistema de direcao e suspensao de veiculos automotores|C-16
29.45-0|Fabricacao de material eletrico e eletronico para veiculos automotores, exceto baterias|C-14
29.49-2|Fabricacao de pecas e acessorios para veiculos automotores nao especificados anteriormente|C-16
29.50-6|Recondicionamento e recuperacao de motores para veiculos automotores|C-16
30.11-3|Construcao de embarcacoes e estruturas flutuantes|C-16
30.12-1|Construcao de embarcacoes para esporte e lazer|C-16
30.31-8|Fabricacao de locomotivas, vagoes e outros materiais rodantes|C-16
30.32-6|Fabricacao de pecas e acessorios para veiculos ferroviarios|C-16
30.41-5|Fabricacao de aeronaves|C-16
30.42-3|Fabricacao de turbinas, motores e outros componentes e pecas para aeronaves|C-16
30.50-4|Fabricacao de veiculos militares de combate|C-16
30.91-1|Fabricacao de motocicletas|C-16
30.92-0|Fabricacao de bicicletas e triciclos nao-motorizados|C-16
30.99-7|Fabricacao de equipamentos de transporte nao especificados anteriormente|C-16
31.01-2|Fabricacao de moveis com predominância de madeira|C-6
31.02-1|Fabricacao de moveis com predominância de metal|C-14
31.03-9|Fabricacao de moveis de outros materiais, exceto madeira e metal|C-14
31.04-7|Fabricacao de colchoes|C-10
32.11-6|Lapidacao de gemas e fabricacao de artefatos de ourivesaria e joalheria|C-12
32.12-4|Fabricacao de bijuterias e artefatos semelhantes|C-14A
32.20-5|Fabricacao de instrumentos musicais|C-14A
32.30-2|Fabricacao de artefatos para pesca e esporte|C-14
32.40-0|Fabricacao de brinquedos e jogos recreativos|C-14
32.50-7|Fabricacao de instrumentos e materiais para uso medico e odontologico e de artigos opticos|C-14
32.91-4|Fabricacao de escovas, pinceis e vassouras|C-14A
32.92-2|Fabricacao de equipamentos e acessorios para seguranca e protecao pessoal e profissional|C-4
32.99-0|Fabricacao de produtos diversos nao especificados anteriormente|C-14A
33.11-2|Manutencao e reparacao de tanques, reservatorios metalicos e caldeiras, exceto para veiculos|C-14
33.12-1|Manutencao e reparacao de equipamentos eletronicos e opticos|C-14
33.13-9|Manutencao e reparacao de maquinas e equipamentos eletricos|C-14
33.14-7|Manutencao e reparacao de maquinas e equipamentos da industria mecânica|C-14
33.15-5|Manutencao e reparacao de veiculos ferroviarios|C-16
33.16-3|Manutencao e reparacao de aeronaves|C-16
33.17-1|Manutencao e reparacao de embarcacoes|C-16
33.19-8|Manutencao e reparacao de equipamentos e produtos nao especificados anteriormente|C-14
33.21-0|Instalacao de maquinas e equipamentos industriais|C-14
33.29-5|Instalacao de equipamentos nao especificados anteriormente|C-14A
35.11-5|Geracao de energia eletrica|C-17
35.12-3|Transmissao de energia eletrica|C-17
35.13-1|Comercio atacadista de energia eletrica|C-17
35.14-0|Distribuicao de energia eletrica|C-17
35.20-4|"Producao de gas| processamento de gas natural| distribuicao de combustiveis gasosos por redes urbanas"|C-17
35.30-1|Producao e distribuicao de vapor, agua quente e ar condicionado|C-17
36.00-6|Captacao, tratamento e distribuicao de agua|C-17
37.01-1|Gestao de redes de esgoto|C-17
37.02-9|Atividades relacionadas a esgoto, exceto a gestao de redes|C-17
38.11-4|Coleta de residuos naoigosos|C-17
38.12-2|Coleta de residuos perigosos|C-17
38.21-1|Tratamento e disposicao de residuos nao-perigosos|C-17
38.22-0|Tratamento e disposicao de residuos perigosos|C-17
38.31-9|Recuperacao de materiais metalicos|C-14
38.32-7|Recuperacao de materiais plasticos|C-12
38.39-4|Recuperacao de materiais nao especificados anteriormente|C-12
39.00-5|Descontaminacao e outros servicos de gestao de residuos|C-17
41.10-7|Incorporacao de empreendimentos imobiliarios|C-29
41.20-4|Construcao de edificios|C-18A
42.11-1|Construcao de rodovias e ferrovias|C-18A
42.12-0|Construcao de obras-de-arte especiais|C-18A
42.13-8|Obras de urbanizacao - ruas, pracas e calcadas|C-18A
42.21-9|Obras para geracao e distribuicao de energia eletrica e para telecomunicacoes|C-18A
42.22-7|Construcao de redes de abastecimento de agua, coleta de esgoto e construcoes correlatas|C-18
42.23-5|Construcao de redes de transportes por dutos, exceto para agua e esgoto|C-18
42.91-0|Obras portuarias, maritimas e fluviais|C-18
42.92-8|Montagem de instalacoes industriais e de estruturas metalicas|C-18A
42.99-5|Obras de engenharia civil nao especificadas anteriormente|C-18
43.11-8|Demolicao e preparacao de canteiros de obras|C-18A
43.12-6|Perfuracoes e sondagens|C-18A
43.13-4|Obras de terraplenagem|C-18A
43.19-3|Servicos de preparacao do terreno nao especificados anteriormente|C-18A
43.21-5|Instalacoes eletricas|C-18
43.22-3|Instalacoes hidraulicas, de sistemas de ventilacao e refrigeracao|C-18
43.29-1|Obras de instalacoes em construcoes nao especificadas anteriormente|C-18
43.30-4|Obras de acabamento|C-18
43.91-6|Obras de fundacoes|C-18A
43.99-1|Servicos especializados para construcao nao especificados anteriormente|C-18
45.11-1|Comercio a varejo e por atacado de veiculos automotores|C-21
45.12-9|Representantes comerciais e agentes do comercio de veiculos automotores|C-21
45.20-0|Manutencao e reparacao de veiculos automotores|C-16
45.30-7|Comercio de pecas e acessorios para veiculos automotores|C-21
45.41-2|Comercio por atacado e a varejo de motocicletas, pecas e acessorios|C-21
45.42-1|Representantes comerciais e agentes do comercio de motocicletas, pecas e acessorios|C-21
45.43-9|Manutencao e reparacao de motocicletas|C-16
46.11-7|Representantes comerciais e agentes do comercio de materiasmas agricolas e animais vivos|C-19
46.12-5|Representantes comerciais e agentes do comercio de combustiveis, minerais, produtos siderurgicos e quimicos|C-22
46.13-3|Representantes comerciais e agentes do comercio de madeira, material de construcao e ferragens|C-20
46.14-1|Representantes comerciais e agentes do comercio de maquinas, equipamentos, embarcacoes e aeronaves|C-19
46.15-0|Representantes comerciais e agentes do comercio de eletrodomesticos, moveis e artigos de uso domestico|C-19
46.16-8|Representantes comerciais e agentes do comercio de texteis, vestuario, calcados e artigos de viagem|C-19
46.17-6|Representantes comerciais e agentes do comercio de produtos alimenticios, bebidas e fumo|C-19
46.18-4|Representantes comerciais e agentes do comercio especializado em produtos nao especificados anteriormente|C-19
46.19-2|Representantes comerciais e agentes do comercio de mercadorias em geral nao especializado|C-19
46.21-4|Comercio atacadista de cafe em grao|C-20
46.22-2|Comercio atacadista de soja|C-20
46.23-1|Comercio atacadista de animais vivos, alimentos para animais e materias- primas agricolas, exceto cafe e soja|C-20
46.31-1|Comercio atacadista de leite e laticinios|C-20
46.32-0|Comercio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e feculas|C-20
46.33-8|Comercio atacadista de hortifrutigranjeiros|C-20
46.34-6|Comercio atacadista de carnes, produtos da carne e pescado|C-20
46.35-4|Comercio atacadista de bebidas|C-20
46.36-2|Comercio atacadista de produtos do fumo|C-20
46.37-1|Comercio atacadista especializado em produtos alimenticios nao especificados anteriormente|C-20
46.39-7|Comercio atacadista de produtos alimenticios em geral|C-20
20.71-1|Fabricacao de tintas, vernizes, esmaltes e lacas|C-10
20.72-0|Fabricacao de tintas de impressao|C-10
20.73-8|Fabricacao de impermeabilizantes, solventes e produtos afins|C-10
20.91-6|Fabricacao de adesivos e selantes|C-10
20.92-4|Fabricacao de explosivos|C-15
20.93-2|Fabricacao de aditivos de uso industrial|C-10
20.94-1|Fabricacao de catalisadores|C-10
20.99-1|Fabricacao de produtos quimicos nao especificados anteriormente|C-10
21.10-6|Fabricacao de produtos farmoquimicos|C-10
21.21-1|Fabricacao de medicamentos para uso humano|C-10
21.22-0|Fabricacao de medicamentos para uso veterinario|C-10
21.23-8|Fabricacao de preparacoes farmaceuticas|C-10
22.11-1|Fabricacao de pneumaticos e de câmarasar|C11
22.12-9|Reforma de pneumaticos usados|C11
22.19-6|Fabricacao de artefatos de borracha nao especificados anteriormente|C11
22.21-8|Fabricacao de laminados planos e tubulares de material plastico|C-10
22.22-6|Fabricacao de embalagens de material plastico|C-10
22.23-4|Fabricacao de tubos e acessorios de material plastico para uso na construcao|C-10
22.29-3|Fabricacao de artefatos de material plastico nao especificados anteriormente|C-10
23.11-7|Fabricacao de vidro plano e de seguranca|C12
23.12-5|Fabricacao de embalagens de vidro|C12
23.19-2|Fabricacao de artigos de vidro|C-12
23.20-6|Fabricacao de cimento|C-1
23.30-3|Fabricacao de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes|C-12
23.41-9|Fabricacao de produtos cerâmicos refratarios|C-12
23.42-7|Fabricacao de produtos cerâmicos nao-refratarios para uso estrutural na construcao|C-12
23.49-4|Fabricacao de produtos cerâmicos nao-refratarios nao especificados anteriormente|C-12
23.91-5|Aparelhamento e outros trabalhos em pedras|C-1
23.92-3|Fabricacao de cal e gesso|C-12
23.99-1|Fabricacao de produtos de minerais nao-metalicos nao especificados anteriormente|C-12
24.11-3|Producao de ferroa|C-13
24.12-1|Producao de ferroligas|C-13
24.21-1|Producao de semi-acabados de aco|C-13
24.22-9|Producao de laminados planos de aco|C-13
24.23-7|Producao de laminados longos de aco|C-13
24.24-5|Producao de relaminados, trefilados e perfilados de aco|C-13
24.31-8|Producao de tubos de aco com costura|C-13
24.39-3|Producao de outros tubos de ferro e aco|C-13
